"PartitionKey,""RowKey"",""Date"",""Day7"""
NXT,2519449829984630954,07.03.2016 02:30:01,-0.83
NXT,2519449847987288201,07.03.2016 02:00:01,-0.79
NXT,2519449865987555804,07.03.2016 01:30:01,-1.02
NXT,2519449883987912135,07.03.2016 01:00:01,-1.43
NXT,2519449901988852832,07.03.2016 00:30:01,-1.31
NXT,2519449919972217755,07.03.2016 00:00:02,-2.43
NXT,2519449937979525923,06.03.2016 23:30:02,-2.20
NXT,2519449955975999878,06.03.2016 23:00:02,-2.78
NXT,2519449973979588273,06.03.2016 22:30:02,-2.08
NXT,2519449991961149233,06.03.2016 22:00:03,-0.47
NXT,2519450009981123620,06.03.2016 21:30:01,0.84
NXT,2519450027971960372,06.03.2016 21:00:02,1.20
NXT,2519450045980884615,06.03.2016 20:30:01,-0.99
NXT,2519450063972662896,06.03.2016 20:00:02,-3.42
NXT,2519450081981285554,06.03.2016 19:30:01,-4.20
NXT,2519450099974098102,06.03.2016 19:00:02,-4.26
NXT,2519450117981480129,06.03.2016 18:30:01,-4.02
NXT,2519450135981580075,06.03.2016 18:00:01,-4.37
NXT,2519450153981468763,06.03.2016 17:30:01,-5.81
NXT,2519450171981430765,06.03.2016 17:00:01,-5.74
NXT,2519450189981544916,06.03.2016 16:30:01,-5.54
NXT,2519450207981003180,06.03.2016 16:00:01,-6.06
NXT,2519450225982251337,06.03.2016 15:30:01,-6.69
NXT,2519450243981663881,06.03.2016 15:00:01,-5.57
NXT,2519450261982196145,06.03.2016 14:30:01,-3.92
NXT,2519450279985503251,06.03.2016 14:00:01,-3.96
NXT,2519450297984750447,06.03.2016 13:30:01,-3.18
NXT,2519450315984052622,06.03.2016 13:00:01,-5.48
NXT,2519450333984012562,06.03.2016 12:30:01,-4.15
NXT,2519450351982749166,06.03.2016 12:00:01,-4.62
NXT,2519450369984369301,06.03.2016 11:30:01,-3.71
NXT,2519450387983555569,06.03.2016 11:00:01,-3.51
NXT,2519450405982812153,06.03.2016 10:30:01,-3.89
NXT,2519450423963787833,06.03.2016 10:00:03,-3.25
NXT,2519450441980314187,06.03.2016 09:30:01,-3.38
NXT,2519450459972202971,06.03.2016 09:00:02,-3.32
NXT,2519450477979530576,06.03.2016 08:30:02,-2.13
NXT,2519450495971288372,06.03.2016 08:00:02,-3.87
NXT,2519450513981534461,06.03.2016 07:30:01,-3.64
NXT,2519450531973253311,06.03.2016 07:00:02,-4.21
NXT,2519450549981742814,06.03.2016 06:30:01,-3.50
NXT,2519450567974700957,06.03.2016 06:00:02,-3.61
NXT,2519450585982335604,06.03.2016 05:30:01,-3.08
NXT,2519450603984848015,06.03.2016 05:00:01,-1.38
NXT,2519450621983185628,06.03.2016 04:30:01,-1.43
NXT,2519450639974625823,06.03.2016 04:00:02,-1.56
NXT,2519450657983249086,06.03.2016 03:30:01,-2.17
NXT,2519450675982419011,06.03.2016 03:00:01,-2.38
NXT,2519450693981515490,06.03.2016 02:30:01,-2.75
NXT,2519450711984066275,06.03.2016 02:00:01,-2.83
NXT,2519450729982295067,06.03.2016 01:30:01,-3.47
NXT,2519450747983666092,06.03.2016 01:00:01,-2.25
NXT,2519450765981062133,06.03.2016 00:30:01,-4.06
NXT,2519450783984430901,06.03.2016 00:00:01,-6.48
